State,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,HHS_SAIPE_Poverty_Rate,mean_plan_price,sum,count,percent_coverage
AK,0,0.6560666666666667,0.27217241379310353,3.526315789473684,0.10342105263157894,109.15058823529412,6,29,0.20689655172413793
AL,1,0.7036417910447762,0.2895970149253731,9.014925373134329,0.1866417910447761,56.241592354476126,10,67,0.14925373134328357
AR,0,0.6169093333333333,0.22662666666666673,8.36,0.18860000000000005,56.07323212588064,7,75,0.09333333333333334
AZ,0,0.7492533333333334,0.4583333333333333,13.0,0.17946666666666672,58.46128534581543,3,15,0.2
CA,0,0.922294827586207,0.529051724137931,11.689655172413794,0.13020689655172413,60.57030387990981,39,58,0.6724137931034483
CO,0,0.8512578125000002,0.44937499999999975,10.140625,0.128890625,63.43716502873259,25,64,0.390625
CT,0,0.9905625,0.668375,,,68.48346807141661,8,8,1.0
DC,0,0.9796,0.6579999999999999,12.0,0.141,45.822,1,1,1.0
DE,0,0.9761000000000001,0.7263333333333333,9.0,0.11733333333333333,50.2265367965368,3,3,1.0
FL,1,0.8397223880597013,0.5072835820895523,7.835820895522388,0.15047761194029857,52.54787988111409,29,67,0.43283582089552236
GA,0,0.7872157232704403,0.3769559748427675,7.377358490566038,0.1817987421383648,53.030978192007744,46,159,0.2893081761006289
HI,0,0.80744,0.5518,5.5,0.10250000000000001,55.857424242424244,3,5,0.6
IA,0,0.9365828282828285,0.40357575757575753,17.424242424242426,0.10895959595959599,61.08262381338425,54,99,0.5454545454545454
ID,0,0.8547568181818183,0.35849999999999993,9.0,0.12406818181818186,72.12535684523809,17,44,0.38636363636363635
IL,0,0.8969049019607847,0.37073529411764716,12.754901960784315,0.1243921568627451,58.64708289366815,53,102,0.5196078431372549
IN,0,0.9073913043478261,0.3560326086956523,12.945652173913043,0.11138043478260867,61.56814563522225,46,92,0.5
KS,0,0.8640123809523806,0.3624095238095238,8.952380952380953,0.12001904761904765,62.162855934779074,48,105,0.45714285714285713
KY,0,0.876473333333333,0.3021500000000001,8.7,0.1882916666666666,61.5201174035523,59,120,0.49166666666666664
LA,1,0.6841249999999999,0.2840937500000001,8.9375,0.20935937500000001,47.459955352680204,18,64,0.28125
MA,0,0.9578,0.7052142857142857,9.428571428571429,0.08642857142857142,63.1436274944126,10,14,0.7142857142857143
MD,0,0.9569461538461538,0.6734230769230769,10.076923076923077,0.10738461538461541,55.22633912988597,18,26,0.6923076923076923
ME,0,0.9400999999999999,0.4379374999999999,10.9375,0.1251875,65.84006438259209,7,16,0.4375
MI,1,0.8517674698795183,0.40275903614457814,10.626506024096386,0.13201204819277113,59.842322909314966,34,83,0.40963855421686746
MN,1,0.9472540229885056,0.45180459770114967,12.195402298850574,0.09620689655172412,58.550093274858476,63,87,0.7241379310344828
MO,1,0.7930282051282049,0.2970683760683762,9.376068376068377,0.1551709401709402,60.41889196791055,42,117,0.358974358974359
MS,0,0.6447536585365855,0.20037804878048776,7.646341463414634,0.2284146341463415,50.85071226073761,7,82,0.08536585365853659
MT,1,0.724925,0.34119642857142857,7.267857142857143,0.14280357142857145,81.63957934137622,11,56,0.19642857142857142
NC,1,0.876017,0.44252999999999987,8.47,0.15800999999999996,53.87571132197467,46,100,0.46
ND,0,0.9579169811320755,0.4768867924528304,7.30188679245283,0.11432075471698114,54.12285349452897,45,53,0.8490566037735849
NE,1,0.8448860215053765,0.3096,9.75268817204301,0.11106451612903226,71.18997353460715,38,93,0.40860215053763443
NH,0,0.94478,0.6648,9.8,0.0883,61.396070709315985,6,10,0.6
NJ,0,0.9850523809523808,0.7339523809523811,9.476190476190476,0.08971428571428573,48.69781656645229,21,21,1.0
NM,0,0.7015484848484849,0.32415151515151513,9.575757575757576,0.1928787878787879,65.28328365384617,3,33,0.09090909090909091
NV,1,0.6440117647058825,0.3543529411764706,7.470588235294118,0.12170588235294118,95.6723343955592,4,17,0.23529411764705882
NY,0,0.9634209677419355,0.5717741935483869,9.035087719298245,0.12875862068965513,59.52592451400973,49,62,0.7903225806451613
OH,0,0.9138193181818184,0.45543181818181805,10.625,0.12264772727272724,59.9966405969222,51,88,0.5795454545454546
OK,0,0.7517051948051944,0.27592207792207785,9.74025974025974,0.16623376623376618,56.24152310700995,14,77,0.18181818181818182
OR,0,0.8521057142857141,0.5236388888888889,10.194444444444445,0.12977777777777774,64.58727886983725,12,36,0.3333333333333333
PA,1,0.8888656716417909,0.46992537313432836,11.0,0.12120895522388063,60.90323153129864,26,67,0.3880597014925373
RI,0,0.9835,0.7411999999999999,,,47.85666666666667,5,5,1.0
SC,1,0.8027282608695652,0.3743260869565217,8.543478260869565,0.17797826086956517,52.84331846261017,10,46,0.21739130434782608
SD,0,0.9225727272727274,0.41959090909090924,7.378787878787879,0.15292424242424252,58.53610785176934,40,66,0.6060606060606061
TN,1,0.8712221052631582,0.40501052631578954,9.105263157894736,0.15852631578947368,56.442224690896175,35,95,0.3684210526315789
TX,1,0.8339393700787395,0.3399565217391304,9.417322834645669,0.15456299212598432,58.43352254276587,102,254,0.4015748031496063
UT,1,0.8674793103448276,0.5840689655172413,9.344827586206897,0.10248275862068967,43.49998406256442,10,29,0.3448275862068966
VA,1,0.8690503649635033,0.4783923076923076,8.68041237113402,0.12170103092783505,57.48545535497525,69,137,0.5036496350364964
VT,0,0.9048642857142857,0.41785714285714287,9.571428571428571,0.10314285714285716,69.68355978148836,5,14,0.35714285714285715
WA,1,0.9017230769230767,0.4869743589743589,11.128205128205128,0.12458974358974356,62.72918814738115,20,39,0.5128205128205128
WI,1,0.8336166666666666,0.4154722222222223,11.694444444444445,0.10551388888888892,59.34531287530552,23,72,0.3194444444444444
WV,0,0.7373018181818182,0.2527636363636363,8.345454545454546,0.17183636363636365,55.541235939434976,4,55,0.07272727272727272
WY,0,0.9107130434782609,0.3959130434782608,9.91304347826087,0.10169565217391306,55.07978174603176,8,23,0.34782608695652173
